Solresol Common Words

not       do
yes       si

I/me      dore
you(s)    domi
they(s)   dofa
we        dosol
you(p)    dola
they(p)   dosi

far       lami
early     simi
good      misol
always    solla

one       redodo
two       remimi
three     refafa

moon      simimi
cloud     sisimi
sun       sifafa
rain      sisido
night     lalasi
wind      sisire
star      sirere

hot       sisila
cold      lasisi
hard      resire
full      relasido
many      milalafa
bitter    farelala
heavy     lafasimi
dry       remilado
round     remirere
big       lasolremi
thick     fafasolsi
long      lasolmisi
old       solfamido
sweet     lasolmimi
all       lamisolsi
small     misolmido
wide      lasolmila
new       solsifasi

yesterday solrere
today     solmimi
tomorrow  solfafa

water     dolamire
smoke     laladofa
shadow    fadofasi
salt      dolasido
stone     reremifa
mountain  fadomido
fire      refasoldo
sand      reremisol

house     remifala
child     domifasol
person    misolredo
name      resisolre

nose      doremifa
bone      doresido
breast    dorefami
arm       dorefasi
hand      dorefala
leg       domidofa
ear       domiresi
neck      dorefare
eye       doremire
nail      domidosi
head      doredofa
tooth     doremila
knee      domidomi
spine     dorelado
hair      doredosol
foot      domidosol
mouth     doremisol
blood     doresisol
liver     doresolsi
belly     doresolfa
heart     solsolmisi

black     relafado
white     laredosol
red       laredofa
green     laremifa
yellow    laremisol
blue      laremila

leaf      lafare
root      fadolami
seed      faredosol
tree      fadofasol
wood      refamila
ash       refasolsi
soil      simisolre

egg       dosidosi
wing      dosifare
flesh     dorelasi
fish      dolafasi
bird      faresifa
dog       faresire
skin/hide dorelasi
die       refamido
horn      lasolsolfa
tail      doremidofa
ant       dorefadofa
feather   dorelafasol

to go     farefa
to give   remila
to walk   fasido
to come   misoldo
to know   redosol
to laugh  solsifa
to hear   resoldo
to eat    dosolre
to run    solsido
to cry    fasisol
to make   ladoremi
to say    mirefado
to hit    relamifa
to hide   dolafado
to see    domiremi
to crush  lamidosi
to fly    faresila
to sit    refarefa
to swim   falafado
to burn   refasolre
to drink  dolamisol
to stand  dosolfami
to fall   sisolsila
to tie    laresolmi
to kill   sisolsifa
to blow   refamisol
to carry  dosolsisol
to take   dosolsisol
to bite   dorefasoldo

