doredo	time
doremi	day
dorefa	week
doresol	month
dorela	year
doresi	century
domido	universe, creation
domire	infinity, unlimited, endless, undefined, immensity, unbounded, immeasurable
domifa	providence, providential, welfare
domisol	god, the all-powerful, supreme being
domila	eternize, perpetuate, eternal, eternity
domisi	immortalize, immortal, indestructible, imperishable
dofado	majesty, grandeur, magnitude, imposing, majestic
dofare	supreme, sovreign
dofami	magnificence, splendor, superb
dofasol	marvel, wonder
dofala	miracle, supernatural, miraculous
dofasi	adore, worship
dosoldo	pray
dosolre	believe
dosolmi	jesus christ
dosolfa	holy virgin
dosolla	religion
dosolsi	sanctify
dolado	charity, charitable, charitably
dolare	philanthropy, philanthropist
dolami	despise, contempt, contemptuous
dolafa	sympathize, pity, compassion
dolasol	inexcusable, unforgivable
dolasi	incomparable, invaluable, unparalleled, without equal
dosido	help, aid, assist, rescue
dosire	support, base
dosimi	unfaithfulness, infidelity
dosifa	accomplish, fulfill
dosisol	duty, obligation
dosila	noble, ennobled, dignity, worthy, just, pride
redore	philosophy, philosopher, philosophical
redomi	loathe, repugnance, repulsive
redofa	moral, morally, moralize
redosol	customs
redola	proverb, maxim
redosi	honor, honorable, venerable, respectable
remido	limit, confine, border, circumscribe
remire	merit, be worthy of, laudable, praised
remifa	benevolence, well-doing
remisol	alms, charity
remila	give, gift, present
remisi	inexplicable, indefinable, incomprehensible, inconceiveable, enigmatic
refado	notability, significant, fame
refare	dignities, honors, honorary
refami	displease, unpleasant, uncomfortable
refasol	indelible (uneraseable)
refala	privilege, prerogative
refasi	qualify, rights
resoldo	doubt, skepticism, skeptical
resolre	err, mistake, error, wrong
resolmi	heresy, heretic
resolfa	atheism, atheist
resolla	materialism, materialistic, materialize
resolsi	discourage, discouragement, tedious
relado	misanthropy, misanthrope
relare	antagonize, thwart, inconvenience, annoying, bother
relami	distrust, suspect, beware, skittish
relafa	impossible, impracticable, impossibility
relasol	intolerance, severity, rigorism, inflexible, rigid
relasi	regret, be sorry, repent, rue
resido	mistreat, bully, maltreatment, brutality, rudeness
resire	toughen, hard, hardness, tough
resimi	spite, bad mood/attitude, sulky, grumpiness, cantankerous, recalcitrant
resifa	become
resisol	to be sad, sadness, gloom, melancholy, sad
resila	bored, boredom
midore	sympathy, inclination, sympathize, take pleasure
midomi	attract, draw, appeal to
midofa	prefer, like the most
midosol	trinity
midola	reciprocity, mutuality, respective, vice versa
midosi	fond of, attached, be attached to, friend, friendly, take to
miredo	love each other, agree
miremi	beloved, darling, dear, dearly loved
mirefa	tenderness, kindness, loving, tenderly, fondness, endearment
miresol	acknowledge, gratitude, recognition, be grateful
mirela	devote, focus, devote oneself, dedication
miresi	link, bond, chain, fasten
mifado	agreement, pleasure, enjoyment
mifare	please, like, pleasant, seductive
mifami	sigh
mifasol	raise, elevate, uplift, high
mifala	desire, wish, want, desirous
mifasi	incorrigible, unable to be corrected
misoldo	the holy spirit
misolre	the grace of god
misolmi	sweetness, pleasantness, smooth, even-tempered
misolfa	benevolence, affability, goodwill
misolla	equal, equality, equally
misolsi	amiability, kindness, kind, pleasant
milado	appraise, estimate, consider
milare	confide, confidence
milami	be passionate, passion, ardor, ardently
milafa	idolize, dote on, idolatry
milasol	love (for things)
milasi	love, cherish, lover, enamored
misido	fidelity, fathfulness, loyalty
misire	to last, durable, stability, permanent, duration
misimi	to get engaged, engagement, fiancé
misifa	marry, marriage, husband, wife, spouse
misisol	to be lucky, luck, fortune, fortunate, lucky, fortunately, luckily
misila	enjoy, enjoyment, pleasure, delirium, intoxicated, drunk
fadore	immoral, immorality, without principles
fadomi	letter (mail), missive, epistle
fadofa	date, era
fadosol	to sign, signature
fadola	stamp, seal
fadosi	end, complete, finish, final, finally, termination, achieve
faredo	contact, address, send a letter
faremi	be, exist (auxiliary)
farefa	go, proceed 
faresol	lengthen, extend, extension, elongation
farela	mail, post, post office
faresi	inexactitude, inaccuracy, inexact
famido	free, exempt, enfranchisement, emancipate
famire	evil, wicked, malignant, harmful, maleficence
famifa	stamp, postmark (verb)
famisol	have (auxiliary), possess, own, get
famila	postman, courier, mail
famisi	carry, bring, portable
fasoldo	cause, because of, due to
fasolre	theism, deism, theist, belief in god
fasolmi	malice, unkindness, ill will, disparaging, malignancy
fasolfa	act, behave, conduct 
fasolla	do, make, action, doable, commit
fasolsi	prepare, make ready, preparation
falado	have to (auxiliary)
falare	able, can, may, possible, practicability
falami	means, resources, by means of, via
falafa	understand, intellect
falasol	disfavor, disrepute, disgrace
falasi	trend, tendency, inclination to, disposition
fasido	walk, step
fasire	inquire, investigate
fasimi	divorce, disown, repudiate, unmarry
fasifa	want (to do something) (for desires and wanting things, see "mifala")
fasisol	cry, weep, sob, tears
fasila	decide, determine, resolve, decision, resolution
soldore	copy, transcribe, transcription
soldomi	imitate, forge, mimic, emulate, counterfeit
soldofa	example, model, type
soldosol	translate, interpret, translation, interpreter
soldola	comment, commentary, commentator
soldosi	tradition, traditionally, traditional
solredo	imply, implied
solremi	ingratitude, disregarding, ungrateful
solrefa	shorten, abbreviate, concise, terse, succinct, brief
solresol	language, idiom, dialect, linguistics, philology
solrela	dictionary, vocabulary, glossary
solresi	irregularity, anomaly, irregular
solmido	devil, satan, lucifer, demon, satanic
solmire	verb, noun, adjective, adverb
solmifa	article
solmisol	pronoun
solmila	remember, recollection, commemorate, memorial, souvenir
solmisi	complicate, complication, make difficult
solfado	neutral, neutrality
solfare	delete, erase, cross out, strike out, efface
solfami	lower, diminish, step down 
solfasol	intimidate, bully, to trouble
solfala	let, allow
solfasi	impatient, irritable, impatience, chafe
sollado	excuse, exonerate, pardon, pardonable, excusable
sollare	tolerate, bear, indulge, indulgence, tolerance
sollami	forgive, pardon, amnesty, mercy, forgiveness
sollafa	favor, favorite, favorable, prefer
sollasol	permit, allow, authorize, permission
sollasi	climb, mount, rise, climbing, ascent
solsido	run, gallop, race, runner
solsire	to be happy, happiness, joy, playfulness, elation, happy, gay, joyful, perky, merrily, cheerfully, happily
solsimi	to be unlucky, misfortune, setback, calamity, disaster, unfortunate
solsifa	laugh, hilarity, laughing
solsisol	smile, grin, smiling
solsila	skip, hop, jump, pounce, frolic
ladore	college, high school, institution, university, teacher, professor, headmaster
ladomi	school, student, pupil, disciple
ladofa	read, reading, reader, readable, legibly
ladosol	book, volume, tome
ladola	preface, foreword, preamble, introduction
ladosi	word, term
laredo	alphabet, alphabetical(ly)
laremi	spell, spelling
larefa	syllable, syllabic, monosyllable, monosyllabic
laresol	lesson, instruction
larela	phrase, sentence
laresi	distraction, inattention, inadvertently, inattentive, carelessness, disapplied
lamido	temporary, fleeting
lamire	write, writing, writer
lamifa	pen
lamisol	forget, overlook, neglect, forgetful, omit
lamila	ink, inkwell
lamisi	difficulty, trouble, hardness
lafado	paper, sheet of paper, parchment
lafare	page, leaf, flip/thumb through
lafami	notebook, portfolio
lafasol	manuscript, scroll, writing
lafala	text, textual, verbatim, to the letter
lafasi	subject, topic, thesis, theme
lasoldo	irreligion, irreligious, impious, impiety
lasolre	pencil, sketch
lasolmi	inequality, unequal, uneven
lasolfa	undo, undone
lasolla	align, line, row
lasolsi	draw, trace
lasido	point, the main idea
lasire	have fun, enjoy, be delighted, entertainment, amuse
lasimi	penalty, displeasure, tribulation, pain, punishment
lasifa	hesitate, go with uncertainty, irresolution, indecisive
lasisol	punctuate, punctuation
lasila	punctuation mark, question mark, exclamation point, comma
sidore	dishonor, degrade, defile, humiliate
sidomi	enmity, hostility, enemy, opponent, antagonist, hostile
sidofa	start, begin, commence
sidosol	study
sidola	progress, progressive
sidosi	learn, learning, education, apprenticeship
siredo	grammar, syntax, grammatically
siremi	spell, spelling, orthography, orthographic
sirefa	accuracy, exactitude, punctuality, assiduity
siresol	regular, symmetric, symmetry, correct
sirela	attention, take care, contemplation, be careful
siresi	apply, applied, studious, studiously
simido	distinguish, differentiate, discern, difference, nuance, 
simire	explain, define, demonstrate, expound, definition, explanation
simifa	meaning, significance
simisol	simplify, make easy, simple, elementary
simila	facilitate, make easy, aid, easy
simisi	clarify, lighten, elucidate, explicit, clarity, conceivable
sifado	dictate, dictation, read out
sifare	fault, defect, failure, defective, failed
sifami	correct, reform, correction, reformation
sifasol	wait, patience, patient
sifala	repeat, recapitulate
sifasi	reiterate, renew, again
sisoldo	compete, contest
sisolre	encourage, embolden, stimulate
sisolmi	inspect, review, inspector, inspection
sisolfa	review, scrutinize, investigate
sisolla	analyze, analysis, analyst, analytical
sisolsi	question, interrogate, query
silado	compare, comparison, similarity, similitude, comparable
silare	crown, tiara, coronation, crowned
silami	hate, detest, abhor, hatred, animosity, aversion
silafa	unable, unfit, incapable, inept
silasol	down, descent, go down
silasi	medal, medallion
