13Y05+000	merveilles	Merveilles Meetup, Berlin
13Y02-653	technology	Paper Computer
13Y01+000	azolla	ReactBerlin, Berlin
13Y00+000	germany	Travel to Berlin, Germany
13W02-704	andes castel	Castel Entrance
13V12-658	macintosh	Neauismetica on Macintosh
13V10-626	keyboard	OLKB Hi-pro mod Planck 6
13V09-625	famicom	OPN2 Cartridge
13V08+000	neauismetica	Completed Drawtober 2019
13V07-680	es	Desert Battery Panels
13V06-681	duomo	Slip Gate
13V05-682	vetetrandes	Saarafores Station
13V03+000	orca	Orca Workshop Foolab, Montreal
13V00-679	whiinders	Offline Station
13U13-686	risan aldeth	Outside Passage
13U11-688	duomic oylaen	Drains
13U10-689	duomo	Basin
13U07-677	vetetrandes	Escal
13U04-693	vetetrandes	Shutting Ramp
13U03-694	aitasla	Aitaslan Reflector
13U00-675	eaurison	Flighter Transit
13T13-674	eaurison	Flighter
13T12-696	dilitriel	Hanging Road
13T10-332	sketchbook	Neotic Rods
13T09-673	vetetrandes	Autoconstructors
13T08-699	kirleane	Soies Compressor
13T07-700	dilitriel	Valentinel Bridge
13T06-701	ver tale	Septechoes
13T05-698	andes castel	The view from Laeisth
13T04-642	lard shader	Study D
13T03-643	hardware	Sanwu Audio Player
13T02-644	playground	The Playground Express
13T01+000	oscean	Rebuilt Oscean in C
13S11+000	computer	Migrated to Linux
13S02-637	studio	Microbrute Synth
13S00+000	canada	Travel to Montreal, Canada
13R11+638	talk	XOXO, Portland
13R09+000	travel	Travel to Portland, US
13R06-636	hundred rabbits	Kelp
13R04-087	sketchbook	Andes
13Q07+635	canada	Travel to Vancouver, Canada
13O11-639	roms	The Family
13O08-640	ronin	Ronin Spiral
13O00-641	beauties	Caterpillar, Minami Ise
13N13-631	minamiise	After the Rain
13N12+000	ronin	Ronin Web Release
13N11-630	ronin	Ronin Recursion
13N10-629	monome	Rack Monome
13N07-627	ronin	Ronin Splash
13N06-593	plan9	Working on Moogle
13N07-628	rio	Monochrome Rio
13N02+000	japan	Travel to Tokyo, Japan
13M13-633	monome	Linn Monome
13M07-649	skate	Minami Ise beach
13M06-648	skate	Minami Ise beach 2
13M04-647	norns	Tutorials
13M03-646	minamiise	Up that hill
13M02-620	minamiise	Shore Ghostly
13M01-618	minamiise	Coastal Ghostly
13M00-663	minamiise	Gokasho
13L13-223	minamiise	Kirihara
13L12-619	minamiise	In a ghost town near you
13L11+617	azolla	Azolla Release
13L09+000	merveilles	Merveilles Meetup, Amsterdam
13L08-615	norns	Pong on Norns
13L03+621	azolla	In Amsterdam with Andre Staltz
13L01+000	netherlands	Travel to Amsterdam, Netherlands
13K13-613	microbit	BBC Microbit
13K12-612	minamiise	Tennis Court Skate Park
13K10-611	skate	Getting back into it
13K08-622	skate	Joy in picture
13K06-616	studio	Infinite Polivoks
13K05-614	microbit	Light Painting for the Microbit
13K04-610	studio	Orca Station
13J12+000	orca	Orca Workshop Algomech, Sheffield
13J11+594	azolla	Algomech Festival, Sheffield
13J10+000	travel	Travel to Manchester, UK
13J09-608	azolla	Yajnev
13J08-607	osaka	Rock Castle in Osaka
13J07-606	osaka	Rock Garden in Osaka
13J05+609	osaka	Travel to Osaka, Japan
13J00-605	raspberry	Ad blocker with display
13I03-604	studio	Polivoks Mini B
13I02-603	studio	Polivoks Mini A
13I01-342	studio	Polivoks
13H10-602	minamiise	Shannon Entropy
13H09-669	minamiise	Our Neighbor
13H08-601	minamiise	Shima Yacht Arbor
13H07+541	minamiise	Sail to Minamiise, Japan
13G12-599	pilot	Orca x Pilot
13G10-600	pilot	The Pilot Synthetiser
13G09-595	shizuoka	Tea Fields
13G08-597	shizuoka	Tea House
13G06-596	shizuoka	Cherry Trees over Tea Fields
13G00+000	merveilles	Merveilles Meetup, Tokyo
13F11-664	shizuoka	Moored downtown Shizuoka
13F09-652	goals	Rekka on Pino in Shizuoka
13F08-651	goals	Pino docked in Shizuoka
13F05-650	bike	In front of Mt. Fuji
13E11+592	shizuoka	Sail to Shizuoka, Japan
13E09-481	artwork	Coralinev x Kaneda
13E08-439	illustration	Working remotely
13E06-591	ogasawara	Futami Beach
13E04-665	ogasawara	Futami Sailors
13E03-590	ogasawara	Futami Arbor
13E02-186	ogasawara	Marus
13E01-587	ogasawara	Terraforming done right
13D12-589	lietal	Alrök Fur Säldota
13D11-586	ogasawara	Omura Weather Station
13D07-177	ogasawara	Epave
13D06-341	ogasawara	An Old Bunker
13D05-246	ogasawara	Omura Entrance
13D04-568	ogasawara	Mixed Architecture
13D02-553	devine lu linvega	In Ogasawara
13C12-667	rekka	In Ogasawara
13B10+239	ogasawara	Sail to Chichijima, Japan
13B06-584	the sublime	Majuro Anchorage
13A12-582	orca	Orca x Dotgrid
13A09-577	marshall islands	A young okra plant at the hospital
13A06-710	riven	Riven Map
13A05-576	nutrition	Deep Greens
