06X09-109	infrared	Tokyo Infrared
06V05-875	lives	Blip Festival @ Koenji High(backstage), Tokyo
06V04+106	ehrivevnv studies	Ehrivevnv Studies Release
06V00+105	ehrivevnv studies	Blip Festival, Tokyo
06U10+000	japan	Moved to Tokyo, Japan
06U08+000	to the aeons hell	To The Aeons Hell Release
06T12-220	waiting for horus	Mar
06P10-039	infrared	Wereda
06P09-257	devine lu linvega	Tokyo Tempers
06P05-026	artwork	Coralinev Afloat Revis
06N10+000	programming	Learning Ruby
06N09+161	vetetrandes lettres	Vetetrandes Lettres Release
06N08+000	lives	iVardensphere Tour, Montreal
06N07-005	lives	Kinetik Festival with Veronique Jacques
06M11+160	pico battle	Pico Battle Release
06L01-150	artwork	Hydro74 Remix
06K06+000	nutrition	Started eating vegetarian
06K02-537	diluvium	Diluvium Logo
06K01-146	diluvium	Diluvium
06K00+148	lives	Kinetik Festival, Montreal
06J08-374	occulter	Coal
06J07-147	collegiennes	Toronto Game Jam 201
06J03-359	occulter	Binchotan
06I11-145	occulter	Occulter
06H11-266	macro	Fibers
06H02-517	personal	Bored in France
06G10-413	victorian punch	Punch on the table
06G09-403	victorian punch	Banned
06G00+138	germany	Travel to Berlin
06F13+133	lives	Noise Complex, Paris
06F10-313	france	Some bridge some place
06F09+203	france	Travel to Paris
06F03-097	ring of scales	Ring of scales
06F01-375	hex hive necklace	First Hex Hive Prototype
06E13-095	hex hive necklace	Hex Hive Necklace
06E11-031	prototyping	PP3DP 1kg Spool Holder
06E09-030	spagettini scale	Spagettini Scale
06E07-100	paradise	Lost in Paradise
06E04-029	waiting for horus	Waiting for Horus
06D13-217	es gulf sunflowers	La Nuit Blanche, Montreal
06D10-219	waiting for horus	Rah
06D00+027	es gulf sunflowers	Es gulf sunflowers Release
06C01+025	volkenessen	Volkenessen Release
06B08-024	artwork	Veins of brambles
06A13-050	faqs	The Pillars
