08+00-282	beldam records	Founded Beldam
08Z12-260	keyboard 468	Prototype
08Z08-299	hypervoid	Antipigment
08Z00-259	dew	Dew Interface
08Y12-291	rafinograde	Glyph Art
08Y09-289	inaction	Ultravoid I
08X08-283	oquonie walkthrough	Walkthrough
08Y07-288	supervisitor	Dodecae
08Y06-287	supervisitor	Aliceffekt Live
08Y05-286	supervisitor	Brut Cover
08Y04+285	oquonie walkthrough	At Bit Bazaar
08Y03-281	dodecae	Flyer
08X08-284	defraction optics	II
08X06-226	defraction optics	Waveform
08X05-331	defraction optics	Circleform
08X03-165	action	Ultravoid II
08X02-378	defraction optics	Cover Page
08X00-424	sketchbook	Techgnostic Order
08V10-489	beauty	A voice in the night
08V05-270	beauty	Plasmytic
08V04-269	beauty	Benignytic
08V03-268	beauty	Leiomytic
08V02-267	beauty	Nevocytic
08U10+273	telekinesis	Leap Motion Demo, Tokyo
08T09+264	ten axitecture	Ten Axitecture Release
08T05-263	brane	IIIII
08T04-262	brane	IIII
08S11-887	aliceffekt	∴
08S10-261	brane	III
08S09-876	aliceffekt	Dinaisth Orbit
08S06-250	serventines	Jenen
08S03+000	grimgrains	Created Grimgrains
08R12-249	serventines	Untenest
08R11-256	serventines	Qaro
08R10-255	serventines	Anopass
08R09-254	serventines	Milreaf
08R08-252	serventines	Qovledon
08R07-251	serventines	Gaspse
08R02+245	damoiseau canalx	Damoiseau et Canalx Release
08Q11-244	neralie	Neralie Mobile
08Q09-237	bifurcan	1.2
08Q08-233	ledoliel	2.0
08Q06-156	kaleidoscope	Ode, The Perfect Being
08Q02+000	nutrition	Started eating vegan
08P13-155	kaleidoscope	Lineggen
08P11-151	kaleidoscope	Diagonite I
08P09-141	dew	Prototype
08P07+139	advent v	The Advent V Release
08O13-129	ledoliel	1.2
08O12-128	bifurcan	Screensaver
08O01-149	kaleidoscope	Diagolite I
08O00-247	serventines	Mount Duomo
08M11-123	noirca	1.1
08M09-124	noirca	Go Board
08M06-121	alphavetist	Katakana Practice
08M05-120	vocavularist	2.0
08M02-119	bifurcan	Update
08L11-293	oquonie	Nastazie
08K13-118	ledoliel	Space friends
08K12-117	ledoliel	Strange Diplomacy
08K06-248	serventines	Snailden
08K02-011	purgateus soundtrack	Autumn Leaves
08K01-116	purgateus	The Autumn
08K00-036	purgateus	soundtrack Spring
08J13+035	purgateus	Purgateus Release
08J12-034	purgateus	Night Time
08J11-033	purgateus	Dusk
08J07+000	programming	Learning Python
08J03-277	nereid	The Habitat
08J02-278	nereid	The Stems
08I05-279	nereid	The South
08I01-280	nereid	The Highways
08H04-115	methascope	20x
08H03-069	methascope	200x
08H02-046	methascope	2000x
08G13+241	vast	Vast Release
08G10-302	kaleidoscope	Gorgeous Leon
08G04-242	vast	Preview
08F07+388	known magye	PowPow, San Francisco
08F06-382	known magye	Live at DNA Lougne
08F03+000	america	Travel to San Fancisco
08D08+000	oscean	Rebuilt Oscean in Javascript
08D07-296	oquonie	A Lost Neomine
08C13-193	oquonie soundtrack	Soundman
08C11-381	oquonie walkthrough	Goodies
08C09-379	oquonie	And so began testing
08C06-573	oquonie	Made In Thailand
08C01-384	flactals	Qraxia
08B13+000	russian	Learning Russian
08A07+000	canada	Moved to Montreal, Canada
