09+00-509	knowledge	Dieter Rams
09Z11-004	orca reference	Orca Glyphs
09Y07-479	verreciel	Further
09Y03-477	hundred rabbits	Paper Rabbit
09Y01-478	keyboard 468	1.4
09X12-506	rabbits soundtrack	A Hundred Knobs
09X01+000	hundred rabbits	Founded Hundred Rabbits
09X00-476	rekka	Reading about sailing
09W11-044	macro	Cure Dents
09W06-475	hundred rabbits	The Fog Never Lifted
09V11-472	dictionarism	Diarism
09T05-470	verreciel	Prototype
09S07+469	opal inquisitors	Opal inquisitors Release
09S02-468	austria	Heading Out
09S01-467	austria	Streets Like Amadeus
09S00-466	austria	Vienna
09R13-465	austria	Suddenly, Half-Life
09R12-463	austria	Vienna
09R11-464	austria	Ars Electronica
09R09+312	talk	Ars Electronica, Vienna
09R08-461	austria	Linz Food
09R07-460	austria	Linz
09R06-458	austria	Wolfinger Hotel
09R05+459	austria	Travel to Vienna
09R03+457	looking glace	Looking Glace Release
09Q13-456	beauty	Mytresial
09Q12-455	beauty	Genoviral
09Q11-454	beauty	Vatoxoinal
09Q10-453	beauty	Hydreviral
09Q07-002	kaleidoscope	Chrestasebeia
09P07-438	games	Breakout Prototype
09P06-437	infrared	Habitat 67
09P02-436	infrared	Graveyard
09O13+000	supervisitor	Supervisitor Release
09O12-434	supervisitor	Trapezoid
09N13-433	inventory	Everyday Carry
09M11-110	infrared	Rekka and Sunglasses
09M04+297	vocavularist	Vocavularist Release
09L13-298	macro	Glass
09L08-170	the will the wisp	Twitter Bot Birth
09K00-430	eschatolor	Tevelision
09J13-583	rekka	Last days in Montreal
09J10-480	netherlands	Amsterdam
09J09-429	netherlands	Utrecht
09J08-428	netherlands	Amsterdam
09J07+427	netherlands	Travel to Utrecht
09J06-425	astratas	Lines B
09J05-415	astratas	Lines A
09J04-409	ar moire	Pattern IIII
09J03-408	ar moire	Pattern III
09J02-400	ar moire	Pattern II
09J01-397	ar moire	Pattern I
09J00-394	time alloy	Vertaline
09I13-393	time alloy	Opaline
09I12-392	time alloy	Slyverline
08I11-361	rekka	Sailing trip in Quebec
09I09-426	astratas	Lines C
09I08+159	extended sleep	Extended Sleep Release
09I03-496	black	Ensenada Hills
09I02-112	flactals	Torazine
09I00+386	talk	Amaze, Berlin
09H13-111	flactals	Nestorine
09H12-107	flactals	Coraline
09G07-391	donsol	Mobile Interface Update
09F01-362	lard shader	Study B
09F00-318	lard shader	Study A
09E09-369	donsol	Mobile Prototype
09E02+000	america	Travel to Francisco
09E01-367	america	Nebraska
09E00-364	america	Desert
09D12-316	america	Desert Snow Covered Moutains
09D11-311	hypervoid	Dischromatic
09C05-306	hypervoid	Nulloid
09B09-295	alphavetist	3.0
09B06-224	ledoliel	2.1
09B04-292	oquonie	Nephtaline wandering
09B00+199	ramiel	Ramiel Release
09A09-272	miniscopie	Reine - Miniscopie
